0 ns	x1 = 00000000000000000000	x2 = 00000000000000000000	x3 = 00000000000000000000	x4 = 00000000000000000000	x5 = 00000000000000000000	
100 ns	x1 = 11100000000000000000	x2 = 11100000000000000000	x3 = 11000000000000000000	x4 = 00000000000000000000	x5 = 00000000000000000000	
100 ns	x1 = 11100000000000000000	x2 = 11100000000000000000	x3 = 11000100000000000000	x4 = 00011000000000000000	x5 = 00010000000000000000	
100 ns	x1 = 11100000000000000000	x2 = 11100000000000000000	x3 = 11000100000000000000	x4 = 00011000000000000000	x5 = 00110000000000000000	
100 ns	x1 = 11100000000000000000	x2 = 11100000000000000000	x3 = 11000100000000000000	x4 = 00011000000000000000	x5 = 00110000000000000000	
200 ns	x1 = 00110000000000000000	x2 = 00110000000000000000	x3 = 11000100000000000000	x4 = 01100000000000000000	x5 = 10000000000000000000	
200 ns	x1 = 10000000000000000000	x2 = 00110000000000000000	x3 = 11000100000000000000	x4 = 01100000000000000000	x5 = 11000000000000000000	
200 ns	x1 = 11000000000000000000	x2 = 00110000000000000000	x3 = 00001100000000000000	x4 = 01000000000000000000	x5 = 01000000000000000000	
200 ns	x1 = 01000000000000000000	x2 = 00110000000000000000	x3 = 00000110000000000000	x4 = 10000000000000000000	x5 = 10000000000000000000	
200 ns	x1 = 10000000000000000000	x2 = 00110000000000000000	x3 = 00001000000000000000	x4 = 00100000000000000000	x5 = 00000000000000000000	
200 ns	x1 = 00000000000000000000	x2 = 00110000000000000000	x3 = 00001000000000000000	x4 = 00100000000000000000	x5 = 01000000000000000000	
200 ns	x1 = 01000000000000000000	x2 = 00110000000000000000	x3 = 00000000000000000000	x4 = 00000000000000000000	x5 = 00000000000000000000	
200 ns	x1 = 00000000000000000000	x2 = 00110000000000000000	x3 = 00000000000000000000	x4 = 00000000000000000000	x5 = 00000000000000000000	
